Gesture ID,Label,Timestep,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z
1,Hai,46,"-12,83053","4,20182","-13,44823","4,38411","0,0064","-2,30117"
1,Hai,47,"-16,29015","5,782","-16,11777","1,7829","-0,00346","-0,56117"
1,Hai,48,"-12,6749","7,25922","-14,73392","-2,35579","0,98298","1,32938"
1,Hai,49,"-9,09557","4,92966","-7,45315","-3,97562","-1,24545","2,05975"
1,Hai,50,"-7,03416","2,77249","-7,77637","-6,41482","1,33711","2,11891"
1,Hai,51,"-3,84509","-1,42934","-1,39821","-6,80305","-1,71868","1,75412"
1,Hai,52,"-1,97522","-3,14119","-0,63925","-7,63442","-1,27822","2,17087"
1,Hai,53,"-0,80685","-3,33991","6,98628","-7,134","-2,00726","2,37951"
1,Hai,54,"-0,38307","-3,41174","13,27824","-6,3061","-1,71655","2,46265"
1,Hai,55,"1,05345","-2,02789","19,18234","-4,83549","-0,79299","2,42801"
1,Hai,56,"1,99916","-1,65439","24,34185","-2,47357","-0,81937","1,82687"
1,Hai,57,"2,92811","-0,23942","25,1056","0,63924","-0,33468","0,47111"
1,Hai,58,"1,90339","0,15802","19,06503","3,28761","0,36052","-1,02055"
1,Hai,59,"-0,23463","-0,7446","11,95425","4,93089","1,16657","-2,03098"
1,Hai,60,"-1,55623","-1,43173","5,03979","6,13077","1,36882","-2,45332"
2,Hai,1,"-6,95037","7,3095","-2,30322","-0,48656","-1,19215","0,23502"
2,Hai,2,"-6,50505","7,24246","-2,46842","-0,607","-1,78317","0,26886"
2,Hai,3,"-5,9448","7,08923","-1,22104","-0,90384","-2,46158","0,37518"
2,Hai,4,"-6,64391","7,14909","-3,881","-1,31206","-1,96596","0,36825"
2,Hai,5,"-6,25844","5,71017","-3,27766","-1,77837","-2,32329","0,3861"
2,Hai,6,"-5,73411","4,26407","-2,40138","-3,33051","-1,94837","0,52626"
2,Hai,7,"-4,08211","1,72383","-1,94409","-4,53199","-2,13037","0,6571"
2,Hai,8,"-2,58334","0,69911","5,39653","-5,85365","-1,44023","1,1767"
2,Hai,9,"-2,77967","-0,05267","10,67575","-7,07671","-0,74743","1,59238"
2,Hai,10,"-0,98881","-3,76608","14,48013","-6,20538","-0,98644","1,78183"
2,Hai,11,"0,94332","-3,5913","26,2189","-1,99687","-2,58096","1,60277"
2,Hai,12,"2,1476","-0,87628","27,85414","1,58119","-0,38957","0,0882"
2,Hai,13,"0,0814","-0,30646","18,21269","4,28418","0,82737","-1,32405"
2,Hai,14,"-1,99676","-1,04148","9,24401","5,98288","0,85748","-2,29691"
2,Hai,15,"-2,37265","-2,08296","3,77566","7,06525","0,61553","-2,90604"
2,Hai,16,"-1,81959","-2,71502","-1,05584","7,49079","0,72345","-3,3068"
2,Hai,17,"-2,34871","-1,07739","-3,04542","7,4335","0,69467","-3,02488"
2,Hai,18,"-8,62152","2,65278","-4,64715","6,54885","0,74023","-3,05819"
2,Hai,19,"-13,52724","5,38217","-11,22162","4,77794","0,75782","-3,02941"
2,Hai,20,"-14,38197","4,30477","-14,4921","3,06778","0,15348","-1,21027"
2,Hai,21,"-16,48408","5,23133","-15,59583","-1,25557","0,267","1,10955"
2,Hai,22,"-10,81221","3,28006","-8,62631","-5,27436","-0,93475","2,21111"
2,Hai,23,"-5,88255","-0,14126","-3,90734","-7,0474","0,25181","2,70379"
2,Hai,24,"-3,6751","-2,36547","-3,50751","-8,58222","1,96036","2,34274"
2,Hai,25,"-2,51631","-5,9855","-0,30406","-8,46978","-3,01769","1,72268"
2,Hai,26,"1,40061","-6,82108","13,39556","-7,6155","-4,00733","2,4749"
2,Hai,27,"2,1883","-2,85149","19,71865","-6,39217","-2,18419","2,93908"
2,Hai,28,"6,33985","-2,93769","31,24194","-2,53353","-1,78024","1,8234"
2,Hai,29,"5,06852","-0,9098","27,49022","1,3467","1,09703","0,15428"
2,Hai,30,"0,39504","-0,51715","18,4569","4,50828","1,43703","-1,43996"
2,Hai,31,"-1,42455","-1,89621","8,80827","6,29757","1,04453","-2,62865"
2,Hai,32,"-1,87705","-2,66235","2,94247","7,45429","0,22196","-3,34011"
2,Hai,33,"-1,8148","-3,0957","-0,85473","7,6147","0,58915","-3,74273"
2,Hai,34,"-5,58567","-1,29047","-3,28724","7,25124","0,62432","-3,55914"
2,Hai,35,"-10,60631","3,19147","-6,41407","5,87363","0,60594","-3,49412"
2,Hai,36,"-12,93827","5,66947","-9,67497","4,0926","0,51854","-2,66889"
2,Hai,37,"-17,36993","5,2864","-16,1034","1,90334","0,20971","-0,79219"
2,Hai,38,"-14,92066","5,89692","-13,06037","-1,84499","-0,19372","1,53802"
2,Hai,39,"-9,74919","3,25851","-6,40449","-5,1366","-0,79006","2,53512"
2,Hai,40,"-4,86981","0,98641","-2,12845","-6,7431","1,45648","2,92816"
2,Hai,41,"-3,24654","-1,93212","-4,11563","-7,88462","1,00137","2,07894"
